"country_name","regional_indicator","ladder_score","standard_error_of_ladder_score","upperwhisker","lowerwhisker","logged_gdp_per_capita","social_support","healthy_life_expectancy","freedom_to_make_life_choices","generosity","perceptions_of_corruption","ladder_score_in_dystopia","explained_by_log_gdp_per_capita","explained_by_social_support","explained_by_healthy_life_expectancy","explained_by_freedom_to_make_life_choices","explained_by_generosity","explained_by_perceptions_of_corruption","dystopia_residual","year"
"Canada","North America and ANZ",7.23210001,0.04040546,7.311294556,7.152905464,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,1.972316742,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,"2020"
"Australia","North America and ANZ",7.222799778,0.041841116,7.30480814,7.140791416,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,1.972316742,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,"2020"
"United Kingdom","Western Europe",7.164500237,0.037161909,7.237337589,7.091662884,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,1.972316742,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,"2020"
"Israel","Middle East and North Africa",7.128600121,0.042515181,7.211929798,7.045270443,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,1.972316742,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,"2020"
"Costa Rica","Latin America and Caribbean",7.121399879,0.044816118,7.209239483,7.033560276,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,1.972316742,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,"2020"
"Ireland","Western Europe",7.093699932,0.039863452,7.171832085,7.01556778,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,1.972316742,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,"2020"
"Germany","Western Europe",7.075799942,0.035609804,7.145595074,7.00600481,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,1.972316742,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462,"2020"
"United States","North America and ANZ",6.939599991,0.047316168,7.032339573,6.846860409,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,1.972316742,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,"2020"
"Czech Republic","Central and Eastern Europe",6.910900116,0.042891297,6.994966984,6.826833248,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,1.972316742,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2.796808243,"2020"
"Belgium","Western Europe",6.863500118,0.034370355,6.930866241,6.796133995,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,1.972316742,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,"2020"
"United Arab Emirates","Middle East and North Africa",6.790800095,0.040698379,6.870568752,6.711031437,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,1.972316742,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961,"2020"
"Malta","Western Europe",6.772799969,0.042958103,6.856997967,6.688601971,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,1.972316742,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062,"2020"
"France","Western Europe",6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,"2020"
"Mexico","Latin America and Caribbean",6.465000153,0.048122469,6.559319973,6.370680332,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,1.972316742,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,"2020"
"Taiwan Province of China","East Asia",6.45539999,0.039139576,6.532113552,6.378686428,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293,1.972316742,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,2.160238743,"2020"
"Uruguay","Latin America and Caribbean",6.440100193,0.045419082,6.529121399,6.351078987,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,1.972316742,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382,"2020"
"Saudi Arabia","Middle East and North Africa",6.406499863,0.056533612,6.517305851,6.295693874,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,1.972316742,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801,"2020"
"Spain","Western Europe",6.400899887,0.04230037,6.483808517,6.317991257,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,1.972316742,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432,"2020"
"Guatemala","Latin America and Caribbean",6.398900032,0.058398303,6.5133605,6.284439564,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,1.972316742,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093,"2020"
"Italy","Western Europe",6.38740015,0.043288074,6.47224474,6.302555561,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,1.972316742,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997,"2020"
"Singapore","Southeast Asia",6.377099991,0.033258967,6.442287445,6.311912537,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,1.972316742,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746,"2020"
"Brazil","Latin America and Caribbean",6.375599861,0.040790688,6.455549717,6.295650005,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,1.972316742,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,"2020"
"Slovenia","Central and Eastern Europe",6.363399982,0.043841314,6.449328899,6.277471066,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1.972316742,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,"2020"
"El Salvador","Latin America and Caribbean",6.34829998,0.058248438,6.462466717,6.234133244,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,1.972316742,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725,"2020"
"Kosovo","Central and Eastern Europe",6.325200081,0.052216277,6.427544117,6.222856045,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293,1.972316742,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024,2.736902714,"2020"
"Panama","Latin America and Caribbean",6.304800034,0.059724931,6.421860695,6.187739372,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,1.972316742,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147,"2020"
"Slovakia","Central and Eastern Europe",6.280600071,0.03889757,6.35683918,6.204360962,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,1.972316742,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043,"2020"
"Uzbekistan","Commonwealth of Independent States",6.257599831,0.05422755,6.36388588,6.151313782,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,1.972316742,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615,"2020"
"Chile","Latin America and Caribbean",6.228499889,0.045723889,6.318118572,6.138881207,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,1.972316742,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867,"2020"
"Bahrain","Middle East and North Africa",6.227300167,0.081882261,6.387789249,6.066811085,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,1.972316742,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362,"2020"
"Lithuania","Central and Eastern Europe",6.215499878,0.044193108,6.302118301,6.128881454,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,1.972316742,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,"2020"
"Trinidad and Tobago","Latin America and Caribbean",6.191899776,0.114448458,6.416218758,5.967580795,10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611,1.972316742,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,2.190695763,"2020"
"Poland","Central and Eastern Europe",6.186299801,0.035500165,6.255880356,6.116719246,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,1.972316742,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981,"2020"
"Colombia","Latin America and Caribbean",6.163400173,0.056480873,6.274102688,6.052697659,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,1.972316742,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609,"2020"
"Cyprus","Western Europe",6.15899992,0.050605938,6.258187771,6.059812069,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,1.972316742,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805,"2020"
"Nicaragua","Latin America and Caribbean",6.13710022,0.063886963,6.262318611,6.011881828,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,1.972316742,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,"2020"
"Romania","Central and Eastern Europe",6.123700142,0.047432564,6.216668129,6.030732155,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,1.972316742,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767,"2020"
"Kuwait","Middle East and North Africa",6.102099895,0.053297732,6.206563473,5.997636318,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,1.972316742,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999,"2020"
"Mauritius","Sub-Saharan Africa",6.101299763,0.057226494,6.213463783,5.989135742,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,1.972316742,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543,"2020"
"Kazakhstan","Commonwealth of Independent States",6.057899952,0.043229785,6.1426301,5.973169804,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,1.972316742,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631,"2020"
"Estonia","Central and Eastern Europe",6.021800041,0.035985194,6.092330933,5.95126915,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,1.972316742,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112,"2020"
"Philippines","Southeast Asia",6.006000042,0.049858402,6.103722572,5.908277512,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,1.972316742,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,"2020"
"Hungary","Central and Eastern Europe",6.000400066,0.039473221,6.077767372,5.923032761,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501,1.972316742,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722,"2020"
"Thailand","Southeast Asia",5.998799801,0.042596295,6.082288742,5.91531086,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,1.972316742,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,"2020"
"Argentina","Latin America and Caribbean",5.974699974,0.053441759,6.079445839,5.869954109,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,1.972316742,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,"2020"
"Honduras","Latin America and Caribbean",5.953199863,0.065731592,6.082033634,5.824366093,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,1.972316742,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387,"2020"
"Latvia","Central and Eastern Europe",5.949999809,0.034838136,6.018282413,5.881717205,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089,1.972316742,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054,"2020"
"Ecuador","Latin America and Caribbean",5.925199986,0.052880634,6.028846264,5.821553707,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,1.972316742,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834,"2020"
"Portugal","Western Europe",5.910900116,0.053158198,6.015089989,5.806710243,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,1.972316742,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,"2020"
"Jamaica","Latin America and Caribbean",5.889800072,0.120590433,6.126157284,5.65344286,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028,1.972316742,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531,"2020"
"South Korea","East Asia",5.872399807,0.044085015,5.958806515,5.785993099,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447,1.972316742,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078,"2020"
"Japan","East Asia",5.870800018,0.041391667,5.951927662,5.789672375,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,1.972316742,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333,"2020"
"Peru","Latin America and Caribbean",5.796800137,0.061311204,5.916970253,5.67663002,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,1.972316742,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,"2020"
"Serbia","Central and Eastern Europe",5.77820015,0.050712325,5.877596378,5.678803921,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,1.972316742,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098,"2020"
